"pwgtp","puma","region","county","socp","occupation","occ_type","year","agep","wagp"
13,"11104","Ventura County (Southwest)--San Buenaventura (Ventura) City PUMA","Ventura","1721YY","Other Engineers, Including Nuclear Engineers","Green",2021,41,60000
17,"11104","Ventura County (Southwest)--San Buenaventura (Ventura) City PUMA","Ventura","119041","Architectural And Engineering Managers","Green",2021,50,1e+05
13,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","4990XX","Other Installation, Maintenance, And Repair Workers","Green",2021,53,0
15,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","1191XX","Other Managers","Green",2021,39,130000
16,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","1191XX","Other Managers","Green",2021,62,0
27,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","1191XX","Other Managers","Green",2021,52,35000
25,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","414010","Sales Representatives, Wholesale And Manufacturing","Green",2021,70,0
24,"08302","Santa Barbara County (North)--Lompoc, Guadalupe, Solvang & Buellton Cities PUMA","Santa Barbara","1191XX","Other Managers","Green",2021,36,130000
18,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","113051","Industrial Production Managers","Green",2021,28,40000
23,"08302","Santa Barbara County (North)--Lompoc, Guadalupe, Solvang & Buellton Cities PUMA","Santa Barbara","4750YY","Derrick, Rotary Drill, And Service Unit Operators, And Roustabouts, Oil And Gas","Fossil Fuel",2021,39,67000
10,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","172070","Electrical And Electronics Engineers","Green",2021,50,85000
9,"08302","Santa Barbara County (North)--Lompoc, Guadalupe, Solvang & Buellton Cities PUMA","Santa Barbara","1191XX","Other Managers","Green",2021,49,10000
19,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","1191XX","Other Managers","Green",2021,61,120000
13,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","119041","Architectural And Engineering Managers","Green",2021,57,122000
20,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","1191XX","Other Managers","Green",2021,51,0
11,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","172141","Mechanical Engineers","Green",2021,31,68000
19,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","172141","Mechanical Engineers","Green",2021,34,70000
15,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","49904X","Industrial And Refractory Machinery Mechanics","Fossil Fuel",2021,40,47000
40,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","1721YY","Other Engineers, Including Nuclear Engineers","Green",2021,22,13000
23,"11104","Ventura County (Southwest)--San Buenaventura (Ventura) City PUMA","Ventura","1721YY","Other Engineers, Including Nuclear Engineers","Green",2021,43,565000
16,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","19204X","Geoscientists And Hydrologists, Except Geographers","Green",2021,55,75000
21,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","19204X","Geoscientists And Hydrologists, Except Geographers","Green",2021,23,5000
8,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","1191XX","Other Managers","Green",2021,55,195000
12,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","119041","Architectural And Engineering Managers","Green",2021,67,0
13,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","414010","Sales Representatives, Wholesale And Manufacturing","Green",2021,65,48000
12,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","471011","First-Line Supervisors Of Construction Trades And Extraction Workers","Green",2021,73,24000
20,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","471011","First-Line Supervisors Of Construction Trades And Extraction Workers","Green",2021,55,110000
24,"11103","Ventura County (Southwest)--Oxnard & Port Hueneme Cities PUMA","Ventura","514041","Machinists","Green",2021,59,35000
9,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","1191XX","Other Managers","Green",2021,25,40000
10,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","1191XX","Other Managers","Green",2021,38,120000
23,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","514041","Machinists","Green",2021,67,63000
78,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","471011","First-Line Supervisors Of Construction Trades And Extraction Workers","Green",2021,41,135000
14,"11103","Ventura County (Southwest)--Oxnard & Port Hueneme Cities PUMA","Ventura","1191XX","Other Managers","Green",2021,21,14000
11,"11103","Ventura County (Southwest)--Oxnard & Port Hueneme Cities PUMA","Ventura","518010","Power Plant Operators, Distributors, And Dispatchers","Green",2021,22,10000
32,"11103","Ventura County (Southwest)--Oxnard & Port Hueneme Cities PUMA","Ventura","472211","Sheet Metal Workers","Green",2021,43,0
10,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","172051","Civil Engineers","Green",2021,65,51000
21,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","172141","Mechanical Engineers","Green",2021,26,2000
26,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","49904X","Industrial And Refractory Machinery Mechanics","Fossil Fuel",2021,39,60000
4,"08302","Santa Barbara County (North)--Lompoc, Guadalupe, Solvang & Buellton Cities PUMA","Santa Barbara","1191XX","Other Managers","Green",2021,67,0
24,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","1721YY","Other Engineers, Including Nuclear Engineers","Green",2021,36,1e+05
4,"11103","Ventura County (Southwest)--Oxnard & Port Hueneme Cities PUMA","Ventura","4740XX","Other Construction And Related Workers","Green",2021,20,19000
6,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","1191XX","Other Managers","Green",2021,50,0
12,"11104","Ventura County (Southwest)--San Buenaventura (Ventura) City PUMA","Ventura","1191XX","Other Managers","Green",2021,31,75000
24,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","4990XX","Other Installation, Maintenance, And Repair Workers","Green",2021,19,3000
11,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","172141","Mechanical Engineers","Green",2021,20,0
8,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","49904X","Industrial And Refractory Machinery Mechanics","Fossil Fuel",2021,35,11500
1,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","1191XX","Other Managers","Green",2021,20,9000
6,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","172051","Civil Engineers","Green",2021,21,8000
20,"11103","Ventura County (Southwest)--Oxnard & Port Hueneme Cities PUMA","Ventura","1191XX","Other Managers","Green",2021,50,0
5,"11104","Ventura County (Southwest)--San Buenaventura (Ventura) City PUMA","Ventura","1191XX","Other Managers","Green",2021,50,0
8,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","49904X","Industrial And Refractory Machinery Mechanics","Fossil Fuel",2021,17,22000
